iter	Logloss
0	0.6683120064
1	0.6456509662
2	0.6243718186
3	0.604505884
4	0.5862177454
5	0.5695092016
6	0.5535597278
7	0.5389320499
8	0.5249094765
9	0.5118486883
10	0.4999708875
11	0.4891744237
12	0.4789897404
13	0.4694650534
14	0.4605901585
15	0.4523071872
16	0.4447198546
17	0.4375000225
18	0.4311771165
19	0.424668867
20	0.4187427604
21	0.4134596693
22	0.4084020092
23	0.4034197331
24	0.3987614856
25	0.3950882935
26	0.3915475159
27	0.3878017492
28	0.3841527573
29	0.3810902321
30	0.3782946604
31	0.3753763337
32	0.3731618918
33	0.3706185991
34	0.3686964607
35	0.3665487961
36	0.3647562397
37	0.3629920891
38	0.3612952585
39	0.3596715622
40	0.3584071878
41	0.3569502847
42	0.3554587409
43	0.3540432844
44	0.3528862021
45	0.3516631926
46	0.350676183
47	0.3496431347
48	0.3487855168
49	0.3479634626
50	0.3471697009
51	0.3463516439
52	0.3458042101
53	0.3450038712
54	0.3444126959
55	0.3437069165
56	0.3428155132
57	0.3421993671
58	0.3415335426
59	0.340798624
60	0.3402018357
61	0.3396894543
62	0.3391601332
63	0.3386456876
64	0.3380327163
65	0.3375951449
66	0.3372401771
67	0.3369174485
68	0.336492802
69	0.336128767
70	0.3357213353
71	0.3354518724
72	0.3351605452
73	0.3348286626
74	0.3346648114
75	0.3343506929
76	0.3341019096
77	0.3338607588
78	0.3336642845
79	0.3333920404
80	0.3331930098
81	0.3330111137
82	0.3328040274
83	0.3326782744
84	0.3324801177
85	0.3323670667
86	0.332153806
87	0.3319374777
88	0.3317661486
89	0.3316155869
90	0.3314169244
91	0.3312684822
92	0.3311247818
93	0.3309702275
94	0.3308248732
95	0.3307110175
96	0.3305720994
97	0.3304391036
98	0.3303242751
99	0.3302285182
100	0.3301055062
101	0.329996118
102	0.3298764906
103	0.3298186396
104	0.3297830138
105	0.3296590179
106	0.3295685901
107	0.3294755792
108	0.3293766305
109	0.3292836725
110	0.3292117168
111	0.3291161477
112	0.3290289446
113	0.328933964
114	0.3288529832
115	0.3288460634
116	0.3287723176
117	0.3287041783
118	0.3286194084
119	0.3285255766
120	0.3284891762
121	0.3284528268
122	0.3284061861
123	0.3283423966
124	0.3283384516
125	0.3282907349
126	0.3282403651
127	0.3282069219
128	0.328146428
129	0.3280853538
130	0.3280511819
131	0.3280153873
132	0.328011911
133	0.3279771575
134	0.3279297813
135	0.3278834447
136	0.3278340544
137	0.3278123195
138	0.3277570315
139	0.3277108783
140	0.327637975
141	0.3276344303
142	0.3275778371
143	0.3275480367
144	0.3275016754
145	0.3274833272
146	0.327471712
147	0.3274291551
148	0.3273875379
149	0.3273431671
150	0.3273091642
151	0.3272792874
152	0.3272754438
153	0.3272412226
154	0.3272277429
155	0.3272004071
156	0.3271903226
157	0.3271714599
158	0.3271245531
159	0.3270820533
160	0.3270545853
161	0.3270177763
162	0.3269644735
163	0.3269399893
164	0.3269065018
165	0.3269060073
166	0.3268962943
167	0.326888377
168	0.3268666936
169	0.3268576596
170	0.3268299263
171	0.326804842
172	0.3267808576
173	0.3267384485
174	0.32670831
175	0.326660605
176	0.326603304
177	0.3265970314
178	0.3265716567
179	0.32653663
180	0.326489705
181	0.3264865469
182	0.3264648545
183	0.3264308072
184	0.3264284091
185	0.326428267
186	0.3263540326
187	0.326318942
188	0.3262868136
189	0.3262747367
190	0.3262612294
191	0.3262460699
192	0.326203077
193	0.3261876102
194	0.3261603081
195	0.3261466772
196	0.3261256649
197	0.326108175
198	0.3260816895
199	0.3260699475
200	0.3260563698
201	0.3260527695
202	0.32605276
203	0.3260122869
204	0.3259965145
205	0.3259758505
206	0.3259675028
207	0.3259362117
208	0.3259088071
209	0.3258842625
210	0.3258646415
211	0.3258585697
212	0.3258215031
213	0.3258214923
214	0.3258028633
215	0.3258024494
216	0.3257784707
217	0.3257705705
218	0.3257603321
219	0.3257478763
220	0.3257460835
221	0.3257289324
222	0.3257048215
223	0.3256802426
224	0.3256589464
225	0.3256277478
226	0.3255999033
227	0.3255661016
228	0.3255413012
229	0.3255382856
230	0.3254946902
231	0.3254542824
232	0.3254531375
233	0.3254527062
234	0.3254309214
235	0.3254258207
236	0.3254038007
237	0.3253830715
238	0.32537179
239	0.325361628
240	0.325358034
241	0.3253294961
242	0.3253194384
243	0.3253178483
244	0.3253015297
245	0.3252784667
246	0.3252718979
247	0.325254292
248	0.3252542257
249	0.3252418521
250	0.3252031946
251	0.3251814099
252	0.3251658718
253	0.3251262111
254	0.3250858666
255	0.3250857628
256	0.3250761936
257	0.3250761936
258	0.3250736587
259	0.3250551195
260	0.325046411
261	0.3250234387
262	0.324999861
263	0.3249957068
264	0.324986013
265	0.3249859313
266	0.3249767555
267	0.3249625568
268	0.3249625534
269	0.3249547259
270	0.3249434809
271	0.3249408619
272	0.3249349209
273	0.3249140847
274	0.3248904217
275	0.3248808519
276	0.324852707
277	0.3248522616
278	0.3248417905
279	0.3248142622
280	0.3248140168
281	0.3248065329
282	0.3248040905
283	0.3247953794
284	0.3247941122
285	0.324773051
286	0.3247659224
287	0.3247343445
288	0.3247211462
289	0.3247197737
290	0.3247153159
291	0.3247021604
292	0.3246652542
293	0.3246373722
294	0.3246344527
295	0.3246048223
296	0.3245859103
297	0.3245717595
298	0.3245367548
299	0.324533575
300	0.3245124164
301	0.3244831478
302	0.3244795682
303	0.3244725375
304	0.3244589321
305	0.3244158925
306	0.3243968475
307	0.3243818501
308	0.3243697953
309	0.3243521487
310	0.3243404524
311	0.3243335151
312	0.3243264773
313	0.324317187
314	0.324313108
315	0.3243060884
316	0.3242768737
317	0.324266509
318	0.3242386763
319	0.324217861
320	0.3242156324
321	0.3242001856
322	0.3241986203
323	0.324198616
324	0.3241879937
325	0.3241277809
326	0.3241268744
327	0.3241220076
328	0.3241139079
329	0.3240978711
330	0.3240815879
331	0.3240755033
332	0.3240350504
333	0.3240194137
334	0.3240191941
335	0.3240061859
336	0.3240061744
337	0.323986881
338	0.3239850128
339	0.3239803008
340	0.3239739516
341	0.3239710881
342	0.3239570663
343	0.3239424516
344	0.3239339176
345	0.3239257967
346	0.3239032307
347	0.3238863917
348	0.3238685837
349	0.3238616545
350	0.3238300586
351	0.3238276033
352	0.3238201342
353	0.3237750606
354	0.323734202
355	0.3237147678
356	0.3237016153
357	0.3236924675
358	0.3236603446
359	0.3236538366
360	0.3236295215
361	0.323612221
362	0.3235976736
363	0.3235816432
364	0.3235621854
365	0.3235390836
366	0.3235192303
367	0.3235084737
368	0.3234904244
369	0.3234823973
370	0.3234812486
371	0.3234626442
372	0.3234586123
373	0.3234357596
374	0.3234294293
375	0.3234105152
376	0.3233946685
377	0.3233509203
378	0.323346306
379	0.3233444211
380	0.3233393728
381	0.3233365289
382	0.3233283431
383	0.3232962572
384	0.3232808984
385	0.3232527497
386	0.3232331958
387	0.3232214198
388	0.3231641709
389	0.3231569206
390	0.3231553499
391	0.3231320862
392	0.3231162514
393	0.3231058595
394	0.3230957139
395	0.3230859254
396	0.3230777884
397	0.3230579568
398	0.3230419749
399	0.3230322863
400	0.3230220707
401	0.322998363
402	0.3229849144
403	0.3229720725
404	0.3229606342
405	0.3229546274
406	0.3229519022
407	0.3229349651
408	0.322921236
409	0.3228851041
410	0.3228762358
411	0.3228637474
412	0.3228526571
413	0.3228416515
414	0.3228280461
415	0.3228025432
416	0.3227888495
417	0.3227875413
418	0.3227761019
419	0.3227693893
420	0.3227559922
421	0.3227399272
422	0.3227238914
423	0.3227118152
424	0.3227098713
425	0.3227022619
426	0.3226968956
427	0.3226834846
428	0.3226491279
429	0.3226429684
430	0.3226219983
431	0.322606114
432	0.3225814206
433	0.3225787811
434	0.3225584329
435	0.3225522229
436	0.3225367407
437	0.322519396
438	0.3225084189
439	0.3224950362
440	0.3224896007
441	0.3224805714
442	0.3224766912
443	0.3224561228
444	0.3224531121
445	0.3224484315
446	0.322439589
447	0.3224368825
448	0.3224141788
449	0.3224056374
450	0.3223871953
451	0.3223733833
452	0.3223586265
453	0.3223495764
454	0.322336156
455	0.3223341347
456	0.3223336092
457	0.3223195598
458	0.3222991357
459	0.3222696768
460	0.3222643991
461	0.3222533865
462	0.322241711
463	0.3222363979
464	0.3222325775
465	0.3222172088
466	0.3222066787
467	0.3222036762
468	0.3221812159
469	0.3221796491
470	0.3221714651
471	0.3221470418
472	0.3221421987
473	0.3221372029
474	0.322132976
475	0.3221189256
476	0.3221066815
477	0.3221043919
478	0.3220991178
479	0.3220958605
480	0.3220686675
481	0.3220443168
482	0.3220318127
483	0.3220211283
484	0.3220192294
485	0.3220092912
486	0.3219931584
487	0.3219857258
488	0.3219801697
489	0.321977992
490	0.3219638878
491	0.3219529944
492	0.3219366449
493	0.3219273167
494	0.321922665
495	0.3219112889
496	0.3219086933
497	0.3219029978
498	0.3218970757
499	0.3218844902
500	0.3218537112
501	0.3218281323
502	0.3218257762
503	0.3218156503
504	0.3218046718
505	0.3217989985
506	0.3217829484
507	0.3217754614
508	0.3217717294
509	0.3217678844
510	0.3217643619
511	0.3217548304
512	0.3217530595
513	0.3217316118
514	0.3217064806
515	0.3216699103
516	0.3216638288
517	0.3216484
518	0.3216447154
519	0.3216400627
520	0.3216299481
521	0.3216217427
522	0.3216117873
523	0.321604316
524	0.3216006042
525	0.3215819428
526	0.3215575914
527	0.3215489459
528	0.3215163501
529	0.3214953082
530	0.3214845093
531	0.3214672129
532	0.321459156
533	0.3214451668
534	0.3214370133
535	0.3214204958
536	0.3214188355
537	0.3214126472
538	0.3214054602
539	0.3214041192
540	0.3213930785
541	0.3213915656
542	0.3213870357
543	0.3213697315
544	0.3213681113
545	0.3213633756
546	0.321343153
547	0.3213375785
548	0.3213091333
549	0.3213045435
550	0.3212961782
551	0.3212926998
552	0.3212726512
553	0.3212649896
554	0.3212564248
555	0.3212527985
556	0.3212512529
557	0.3212449394
558	0.3212388262
559	0.3212326286
560	0.3212220833
561	0.3212163431
562	0.3212128971
563	0.3212017427
564	0.3211869463
565	0.3211747306
566	0.3211518921
567	0.3211393353
568	0.3211285015
569	0.3211264796
570	0.3211177461
571	0.3211071181
572	0.3210970275
573	0.3210954653
574	0.3210770127
575	0.3210505845
576	0.3210373244
577	0.321031999
578	0.3210264531
579	0.3210156045
580	0.321001085
581	0.3209866588
582	0.3209838318
583	0.3209798749
584	0.3209784696
585	0.3209700545
586	0.3209431807
587	0.3209183509
588	0.3209109907
589	0.3208949263
590	0.3208837059
591	0.3208640137
592	0.3208493871
593	0.3208457118
594	0.320830062
595	0.3208268907
596	0.3208061365
597	0.320768198
598	0.3207511289
599	0.3207344126
600	0.3207272689
601	0.3207261591
602	0.3207180645
603	0.3207025986
604	0.3206836342
605	0.3206751831
606	0.3206582925
607	0.3206427339
608	0.3206306526
609	0.3206150249
610	0.3206098522
611	0.3206010822
612	0.3205855011
613	0.3205779139
614	0.3205396418
615	0.3205125633
616	0.3204764097
617	0.3204518048
618	0.3204421458
619	0.3204333786
620	0.3204034604
621	0.320397116
622	0.3203921707
623	0.3203911201
624	0.3203681913
625	0.3203416118
626	0.3203258348
627	0.3203138
628	0.3202934576
629	0.3202844724
630	0.3202809483
631	0.3202651762
632	0.320261119
633	0.3202399465
634	0.320236619
635	0.3202139148
636	0.3202001675
637	0.3201989135
638	0.3201937732
639	0.3201798705
640	0.3201526031
641	0.320132542
642	0.3201208486
643	0.3201145812
644	0.3201027542
645	0.3200900419
646	0.3200801664
647	0.3200565358
648	0.3200392336
649	0.3200346948
650	0.3200191335
651	0.3200164585
652	0.3200154571
653	0.3199952081
654	0.3199925697
655	0.3199852709
656	0.3199815076
657	0.3199711065
658	0.3199484446
659	0.3199303697
660	0.3199204106
661	0.3199004206
662	0.3198848529
663	0.3198790137
664	0.3198563989
665	0.3198375415
666	0.3198270289
667	0.3198199441
668	0.3198191405
669	0.3198105605
670	0.3197952518
671	0.3197646664
672	0.3197539957
673	0.3197334403
674	0.3197277626
675	0.3197189547
676	0.3197144092
677	0.3197129381
678	0.319708603
679	0.3196985611
680	0.3196821203
681	0.3196745175
682	0.3196726098
683	0.3196683513
684	0.3196665266
685	0.3196390239
686	0.3196168485
687	0.3195908574
688	0.3195641929
689	0.3195519526
690	0.31954331
691	0.3195288168
692	0.3195211185
693	0.3195084159
694	0.3195069817
695	0.3194894648
696	0.3194698926
697	0.3194671531
698	0.3194633087
699	0.3194619886
700	0.3194604467
701	0.3194319416
702	0.3194280558
703	0.3193909622
704	0.3193789191
705	0.3193697567
706	0.3193592066
707	0.3193557204
708	0.3193516437
709	0.319328658
710	0.3193228014
711	0.3193189608
712	0.3193151514
713	0.319313401
714	0.3192978676
715	0.3192844107
716	0.3192700521
717	0.3192433784
718	0.3192214515
719	0.3192189465
720	0.3192005437
721	0.3191818155
722	0.3191640756
723	0.3191504929
724	0.3191501863
725	0.319131706
726	0.3191267581
727	0.3191266089
728	0.3191239405
729	0.3191127708
730	0.3191030168
731	0.3190824394
732	0.3190570566
733	0.3190520416
734	0.3190466548
735	0.3190234292
736	0.3190223729
737	0.3190126116
738	0.3189995141
739	0.3189832544
740	0.3189740561
741	0.3189495559
742	0.3189486609
743	0.3189390106
744	0.3189179965
745	0.3188968815
746	0.3188645272
747	0.318863496
748	0.3188621363
749	0.3188336613
750	0.3188188734
751	0.3188039242
752	0.3187888018
753	0.318779228
754	0.3187736877
755	0.3187728246
756	0.3187616319
757	0.3187581093
758	0.3187500649
759	0.318739479
760	0.3187242666
761	0.318706878
762	0.3187010443
763	0.318686083
764	0.3186853792
765	0.3186714801
766	0.3186446472
767	0.3186425362
768	0.3186307464
769	0.3186005373
770	0.3185922537
771	0.3185804948
772	0.318571579
773	0.318567159
774	0.3185583299
775	0.3185564767
776	0.318548771
777	0.3185208456
778	0.3185016184
779	0.3184946614
780	0.3184747149
781	0.3184442555
782	0.3184373004
783	0.318423971
784	0.3184153439
785	0.3184145622
786	0.3183929042
787	0.3183749932
788	0.318363069
789	0.3183446111
790	0.3183268457
791	0.3183117438
792	0.3182981381
793	0.3182930262
794	0.318283915
795	0.3182784025
796	0.31824944
797	0.3182467997
798	0.3182362771
799	0.3182156705
800	0.3181933962
801	0.318172075
802	0.3181549639
803	0.3181519625
804	0.3181466287
805	0.3181370761
806	0.3181363019
807	0.3181344887
808	0.3181050275
809	0.3180984001
810	0.3180976171
811	0.3180891751
812	0.3180741421
813	0.3180567534
