iter	Passed	Remaining
0	135	135265
1	188	94015
2	215	71618
3	271	67716
4	327	65132
5	386	64047
6	418	59417
7	462	57334
8	491	54157
9	518	51287
10	540	48617
11	578	47652
12	604	45901
13	618	43578
14	632	41561
15	647	39800
16	675	39072
17	698	38081
18	710	36661
19	729	35752
20	750	34978
21	767	34112
22	783	33282
23	805	32744
24	820	31985
25	840	31482
26	859	30983
27	888	30834
28	904	30290
29	923	29847
30	938	29335
31	967	29254
32	989	29008
33	1012	28756
34	1023	28229
35	1047	28037
36	1059	27582
37	1083	27431
38	1106	27264
39	1136	27270
40	1156	27039
41	1172	26754
42	1197	26661
43	1226	26637
44	1247	26478
45	1300	26970
46	1346	27301
47	1384	27452
48	1405	27276
49	1425	27079
50	1453	27053
51	1478	26954
52	1500	26806
53	1520	26631
54	1544	26529
55	1563	26352
56	1582	26176
57	1591	25844
58	1629	25993
59	1665	26094
60	1691	26035
61	1711	25888
62	1744	25941
63	1766	25834
64	1789	25747
65	1830	25903
66	1875	26110
67	1908	26163
68	1937	26137
69	1980	26313
70	2008	26284
71	2049	26414
72	2073	26335
73	2099	26275
74	2120	26155
75	2141	26032
76	2161	25905
77	2177	25743
78	2208	25745
79	2226	25608
80	2237	25389
81	2264	25346
82	2305	25473
83	2342	25545
84	2365	25460
85	2391	25417
86	2426	25465
87	2449	25382
88	2475	25339
89	2501	25296
90	2517	25151
91	2528	24950
92	2558	24951
93	2593	24996
94	2622	24979
95	2653	24991
96	2683	24982
97	2706	24911
98	2737	24915
99	2773	24958
100	2811	25025
101	2849	25087
102	2863	24939
103	2898	24967
104	2923	24923
105	2951	24889
106	2966	24755
107	2994	24728
108	3025	24732
109	3049	24669
110	3076	24642
111	3107	24637
112	3128	24553
113	3160	24565
114	3188	24535
115	3222	24555
116	3253	24550
117	3266	24417
118	3301	24444
119	3358	24628
120	3386	24601
121	3403	24490
122	3426	24430
123	3450	24379
124	3474	24319
125	3513	24371
126	3541	24342
127	3570	24320
128	3609	24374
129	3638	24351
130	3654	24241
131	3671	24145
132	3692	24071
133	3725	24074
134	3767	24137
135	3779	24010
136	3824	24093
137	3863	24132
138	3899	24152
139	3911	24029
140	3943	24024
141	3977	24033
142	4006	24009
143	4037	23998
144	4065	23975
145	4078	23854
146	4088	23725
147	4132	23791
148	4191	23936
149	4229	23969
150	4249	23890
151	4262	23778
152	4299	23801
153	4327	23771
154	4342	23672
155	4402	23818
156	4437	23827
157	4462	23782
158	4475	23673
159	4492	23587
160	4519	23553
161	4554	23558
162	4586	23551
163	4620	23554
164	4654	23556
165	4671	23471
166	4718	23535
167	4745	23499
168	4758	23395
169	4789	23384
170	4813	23336
171	4831	23257
172	4871	23289
173	4903	23276
174	4916	23176
175	4946	23156
176	4981	23161
177	5006	23121
178	5030	23074
179	5055	23032
180	5085	23010
181	5108	22960
182	5138	22939
183	5157	22873
184	5200	22909
185	5227	22876
186	5252	22834
187	5270	22765
188	5299	22740
189	5336	22749
190	5364	22720
191	5391	22688
192	5420	22663
193	5456	22671
194	5487	22654
195	5532	22692
196	5564	22682
197	5588	22638
198	5604	22556
199	5630	22521
200	5653	22472
201	5690	22479
202	5730	22499
203	5760	22478
204	5787	22442
205	5802	22364
206	5828	22329
207	5868	22343
208	5900	22331
209	5930	22311
210	5958	22280
211	5982	22236
212	6000	22171
213	6033	22161
214	6062	22135
215	6092	22114
216	6116	22071
217	6150	22063
218	6172	22013
219	6194	21961
220	6219	21921
221	6253	21914
222	6284	21896
223	6322	21902
224	6343	21848
225	6365	21799
226	6393	21770
227	6418	21734
228	6459	21747
229	6477	21686
230	6509	21668
231	6535	21635
232	6559	21592
233	6578	21533
234	6598	21481
235	6620	21432
236	6644	21390
237	6668	21349
238	6689	21298
239	6716	21270
240	6740	21229
241	6774	21217
242	6805	21201
243	6838	21187
244	6865	21157
245	6897	21140
246	6937	21148
247	6962	21111
248	6983	21061
249	7007	21021
250	7033	20987
251	7067	20976
252	7096	20952
253	7123	20921
254	7146	20878
255	7165	20825
256	7184	20770
257	7212	20743
258	7239	20712
259	7278	20715
260	7309	20697
261	7377	20780
262	7468	20930
263	7545	21037
264	7605	21093
265	7651	21112
266	7719	21191
267	7758	21192
268	7792	21176
269	7835	21185
270	7877	21189
271	7907	21165
272	8005	21319
273	8084	21421
274	8188	21587
275	8245	21630
276	8300	21665
277	8336	21649
278	8379	21655
279	8424	21662
280	8459	21645
281	8578	21842
282	8645	21902
283	8697	21928
284	8732	21908
285	8765	21883
286	8812	21894
287	8855	21892
288	8911	21924
289	8938	21885
290	8981	21883
291	9007	21839
292	9045	21825
293	9073	21787
294	9116	21787
295	9145	21751
296	9174	21717
297	9207	21690
298	9237	21656
299	9266	21621
300	9289	21571
301	9320	21542
302	9346	21499
303	9386	21489
304	9416	21458
305	9437	21403
306	9470	21378
307	9501	21347
308	9556	21370
309	9596	21360
310	9646	21371
311	9696	21380
312	9720	21335
313	9755	21313
314	9782	21272
315	9816	21247
316	9845	21212
317	9870	21169
318	9904	21144
319	9926	21094
320	9962	21072
321	9994	21044
322	10028	21018
323	10062	20994
324	10103	20983
325	10150	20985
326	10182	20956
327	10209	20916
328	10235	20875
329	10262	20836
330	10292	20802
331	10327	20779
332	10356	20743
333	10386	20710
334	10413	20670
335	10449	20650
336	10489	20636
337	10522	20609
338	10549	20569
339	10573	20525
340	10602	20489
341	10624	20442
342	10653	20406
343	10695	20396
344	10726	20364
345	10759	20336
346	10789	20304
347	10818	20269
348	10854	20247
349	10916	20273
350	10948	20243
351	10974	20203
352	10999	20161
353	11022	20114
354	11049	20076
355	11076	20038
356	11122	20032
357	11155	20005
358	11184	19970
359	11209	19928
360	11234	19886
361	11259	19844
362	11286	19806
363	11341	19816
364	11378	19795
365	11426	19793
366	11454	19757
367	11487	19729
368	11512	19687
369	11554	19673
370	11583	19639
371	11611	19601
372	11645	19576
373	11670	19534
374	11692	19488
375	11721	19452
376	11769	19449
377	11804	19423
378	11839	19399
379	11873	19373
380	11910	19350
381	11938	19313
